timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735931225371,265,/submit/firefox-desktop/newtab/1/569a0443-db06-4cdd-a782-e091828d542f-12,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 265 milliseconds, but should not have lasted longer than 200 milliseconds.",751,3018,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/569a0443-db06-4cdd-a782-e091828d542f,265,0,0
1735931225317,357,/submit/firefox-desktop/use-counters/1/8ce77d7b-4847-4906-a871-924b75d84be8-5,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 357 milliseconds, but should not have lasted longer than 200 milliseconds.",914,4180,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/use-counters/1/8ce77d7b-4847-4906-a871-924b75d84be8,357,0,0
1735931225527,261,/submit/firefox-desktop/newtab/1/cb694194-1fff-4658-9e74-e04db851a706-18,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 261 milliseconds, but should not have lasted longer than 200 milliseconds.",747,3040,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/cb694194-1fff-4658-9e74-e04db851a706,261,0,0
1735931225789,69,/moodle/theme/font.php/classic/core/1731384351/fontawesome-webfont.woff2-28,200,OK,Thread Group 1-1,text,true,,77637,578,3,3,https://cse.buet.ac.bd/moodle/theme/font.php/classic/core/1731384351/fontawesome-webfont.woff2?v=4.7.0,54,0,0
1735931225675,268,/submit/firefox-desktop/newtab/1/c909862a-4e06-41cb-8785-1dfa07f17b63-6,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 268 milliseconds, but should not have lasted longer than 200 milliseconds.",722,1487,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/c909862a-4e06-41cb-8785-1dfa07f17b63,268,0,0
1735931225638,305,/submit/firefox-desktop/newtab/1/50e5e397-e6f4-4472-af31-a97202d67897-13,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 305 milliseconds, but should not have lasted longer than 200 milliseconds.",925,3052,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/newtab/1/50e5e397-e6f4-4472-af31-a97202d67897,305,0,0
1735931225859,339,/moodle/lib/requirejs.php/1731384351/core/first.js-29,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 339 milliseconds, but should not have lasted longer than 200 milliseconds.",501770,464,3,3,https://cse.buet.ac.bd/moodle/lib/requirejs.php/1731384351/core/first.js,111,0,0
1735931226199,24,/moodle/lib/javascript.php/1731384351/lib/jquery/jquery-3.6.1.min.js-30,200,OK,Thread Group 1-1,text,true,,31556,482,3,3,https://cse.buet.ac.bd/moodle/lib/javascript.php/1731384351/lib/jquery/jquery-3.6.1.min.js,23,0,0
1735931225944,284,/submit/firefox-desktop/messaging-system/1/db9e1f91-b7c8-4226-b134-8e44a1478bdc-14,200,OK,Thread Group 1-2,text,false,"The operation lasted too long: It took 284 milliseconds, but should not have lasted longer than 200 milliseconds.",764,2250,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/messaging-system/1/db9e1f91-b7c8-4226-b134-8e44a1478bdc,284,0,0
1735931225944,298,/submit/firefox-desktop/baseline/1/b661e6aa-4469-4d20-a499-f22498fb816e-7,200,OK,Thread Group 1-3,text,false,"The operation lasted too long: It took 298 milliseconds, but should not have lasted longer than 200 milliseconds.",921,2279,3,3,https://incoming.telemetry.mozilla.org/submit/firefox-desktop/baseline/1/b661e6aa-4469-4d20-a499-f22498fb816e,298,0,0
1735931226224,34,/moodle/lib/ajax/service-nologin.php-31,200,OK,Thread Group 1-1,text,true,,31924,783,3,3,https://cse.buet.ac.bd/moodle/lib/ajax/service-nologin.php?info=core_output_load_fontawesome_icon_system_map&cachekey=1731384351&args=%5B%7B%22index%22%3A0%2C%22methodname%22%3A%22core_output_load_fontawesome_icon_system_map%22%2C%22args%22%3A%7B%22themename%22%3A%22classic%22%7D%7D%5D,22,0,0
